ARRESTTIME,COUNCIL_DISTRICT
2016-09-12T22:53:00,1
2016-12-26T20:36:00,7
2016-12-27T15:19:00,4
2017-01-04T20:09:00,1
2017-01-07T22:28:00,6
2016-09-18T13:55:00,6
2016-09-19T01:45:00,2
2016-09-19T09:25:00,9
2016-11-08T13:37:00,6
2016-09-30T09:30:00,
2016-10-08T03:49:00,6
2016-11-14T12:05:00,6
2017-01-05T12:58:00,3
2016-11-09T11:20:00,9
2017-01-07T22:20:00,3
2016-09-15T17:45:00,3
2016-11-07T14:05:00,1
2016-11-28T18:33:00,6
2016-10-07T14:22:00,9
2016-10-07T01:30:00,6
2017-01-10T19:20:00,2
2016-11-07T14:05:00,1
2016-09-30T09:55:00,7
2016-11-09T12:00:00,7
2016-09-15T21:15:00,6
2016-11-27T16:20:00,
2016-10-07T11:00:00,
2016-10-11T11:55:00,9
2016-10-08T10:04:00,6
2017-01-11T13:00:00,6
2017-01-19T19:50:00,6
2016-10-09T02:40:00,2
2016-09-15T19:00:00,4
2016-11-20T04:15:00,1
2016-09-10T13:05:00,1
2016-11-08T07:20:00,
2016-09-07T00:18:00,2
2016-11-17T20:22:00,3
2016-10-18T02:07:00,1
2016-10-30T03:00:00,1
2017-01-06T17:30:00,5
2017-01-10T20:16:00,9
2016-11-25T18:15:00,5
2016-10-29T11:40:00,1
2017-01-13T03:09:00,2
2016-10-09T02:40:00,2
2017-01-30T16:40:00,5
2016-08-08T15:20:00,3
2016-09-05T04:13:00,3
2016-09-15T17:40:00,6
2016-10-01T16:50:00,3
2016-10-23T01:52:00,1
2017-01-10T22:00:00,6
2016-11-11T21:29:00,4
2017-01-10T22:00:00,6
2016-10-26T11:31:00,3
2017-01-11T03:25:00,2
2016-10-07T19:00:00,5
2016-09-14T19:00:00,6
2017-01-03T14:05:00,9
2016-09-11T02:59:00,7
2016-12-03T05:20:00,
2016-09-23T02:43:00,1
2016-09-24T17:20:00,3
2016-10-04T20:55:00,6
2017-01-17T18:51:00,4
2017-01-05T00:01:00,3
2017-01-16T01:30:00,9
2017-01-29T02:55:00,7
2016-09-22T19:51:00,6
2016-10-26T02:26:00,5
2016-09-27T19:15:00,3
2016-11-02T11:27:00,6
2015-11-04T19:45:00,3
2016-12-28T09:28:00,7
2016-09-22T12:50:00,6
2016-10-29T20:00:00,9
2016-09-28T13:45:00,4
2016-11-25T21:55:00,9
2017-01-20T20:35:00,2
2017-01-25T09:15:00,
2016-09-24T20:30:00,3
2016-11-28T06:55:00,3
2016-09-30T11:15:00,6
2016-10-24T02:30:00,9
2017-01-03T15:00:00,1
2017-01-21T02:30:00,2
2017-01-23T03:30:00,6
2016-09-14T19:00:00,6
2016-10-02T11:50:00,3
2016-09-04T20:20:00,
2016-09-30T13:30:00,6
2016-11-02T19:25:00,8
2016-11-19T15:45:00,
2016-09-29T07:00:00,2
2016-10-01T00:01:00,2
2016-09-28T03:20:00,1
2016-11-06T00:48:00,3
2016-11-06T00:50:00,6
2016-11-06T01:24:00,3
2016-11-03T22:18:00,1
2016-10-16T02:10:00,3
2016-10-30T22:00:00,7
2017-01-05T16:00:00,1
2016-10-27T19:54:00,3
2016-11-10T13:45:00,3
2016-09-22T18:42:00,4
2017-01-24T16:43:00,1
2016-11-08T10:30:00,5
2016-10-29T09:39:00,1
2016-10-19T16:18:00,2
2016-11-06T01:29:00,3
2016-09-16T14:12:00,2
2016-09-07T17:45:00,7
2016-11-16T17:10:00,9
2016-10-03T19:22:00,
2016-11-03T23:53:00,3
2017-01-24T19:47:00,1
2017-01-10T13:12:00,9
2017-01-06T19:30:00,1
2017-01-23T17:40:00,9
2017-01-09T16:10:00,1
2016-10-30T18:00:00,7
2016-11-04T17:55:00,7
2016-09-09T17:40:00,6
2016-09-22T19:38:00,6
2016-09-22T17:07:00,9
2016-11-04T18:30:00,6
2016-11-07T23:30:00,9
2016-09-12T17:45:00,6
2016-08-03T00:55:00,3
2016-09-21T18:53:00,1
2016-09-22T17:05:00,7
2016-11-09T17:36:00,6
2017-01-22T09:36:00,7
2017-01-23T10:00:00,6
2016-10-26T22:25:00,2
2016-10-29T15:35:00,6
2016-11-06T02:18:00,6
2017-01-10T16:02:00,3
2017-01-10T17:19:00,7
2017-01-17T19:32:00,6
2016-09-07T21:21:00,1
2016-09-22T01:40:00,
2016-10-06T04:00:00,3
2016-10-17T18:59:00,4
2016-11-08T20:31:00,7
2016-11-07T22:15:00,9
2017-01-16T00:39:00,2
2017-01-11T18:50:00,
2016-10-28T12:50:00,3
2016-10-29T16:41:00,9
2016-09-30T11:00:00,2
2017-01-11T20:08:00,1
2017-01-11T17:44:00,1
2016-10-30T18:10:00,2
2017-01-25T13:45:00,
2016-11-10T00:37:00,1
2016-11-02T11:50:00,6
2016-11-30T16:05:00,1
2016-11-09T16:35:00,6
2016-10-20T20:28:00,7
2017-01-15T22:10:00,8
2016-11-30T22:44:00,3
2016-10-23T11:00:00,
2017-01-25T13:30:00,
2016-10-31T10:14:00,3
2016-11-27T21:20:00,6
2016-11-06T01:45:00,3
2016-11-07T09:00:00,5
2016-10-04T16:30:00,4
2017-01-16T02:45:00,7
2017-01-18T10:15:00,6
2016-10-03T09:55:00,
2016-11-03T15:40:00,2
2016-09-21T12:35:00,2
2016-11-05T21:55:00,2
2016-11-16T10:22:00,9
2017-01-06T15:27:00,3
2016-11-26T19:35:00,9
2016-11-03T16:00:00,2
2017-01-08T18:20:00,1
2017-01-08T19:45:00,
2016-10-31T10:15:00,7
2016-10-10T22:15:00,2
2016-09-25T21:54:00,5
2016-10-31T21:30:00,4
2017-01-08T21:00:00,6
2017-01-09T11:44:00,1
2016-11-07T16:20:00,5
2016-08-18T19:48:00,2
2016-11-03T17:00:00,
2017-01-08T22:05:00,
2017-01-11T09:58:00,4
2016-11-10T07:08:00,9
2016-09-24T14:00:00,1
2016-09-24T14:00:00,1
2016-09-28T18:45:00,6
2016-09-29T11:34:00,4
2016-10-12T09:35:00,3
2017-01-01T00:28:00,
2016-11-08T00:12:00,9
2016-11-09T04:05:00,1
2016-09-17T21:27:00,4
2016-09-12T17:45:00,1
2016-10-05T09:50:00,9
2016-09-24T09:06:00,
2016-11-07T23:44:00,
2016-09-27T09:40:00,4
2016-11-09T09:50:00,6
2016-10-03T13:40:00,1
2016-09-27T17:30:00,4
2017-01-01T14:41:00,
2016-10-18T18:37:00,6
2016-12-30T10:10:00,9
2017-01-01T09:02:00,3
2017-01-03T21:56:00,6
2016-09-07T23:50:00,1
2017-01-14T11:50:00,2
2016-11-08T03:40:00,6
2016-11-10T09:53:00,7
2017-01-11T13:56:00,7
2017-01-11T14:36:00,1
2016-09-17T19:07:00,4
2016-09-27T11:45:00,3
2016-09-24T01:20:00,
2016-09-24T21:27:00,4
2016-09-23T21:18:00,1
2017-01-02T09:10:00,3
2016-09-27T20:32:00,
2016-10-06T01:30:00,3
2016-09-19T19:37:00,4
2016-11-05T12:15:00,9
2016-09-01T21:30:00,4
2016-08-30T15:57:00,1
2016-11-27T17:30:00,6
2016-11-19T22:25:00,2
2016-09-17T01:45:00,1
2017-01-10T16:15:00,8
2016-12-31T23:08:00,7
2017-01-07T12:10:00,7
2016-10-12T16:15:00,6
2016-10-18T19:48:00,5
2016-11-03T16:50:00,7
2017-01-01T12:15:00,6
2016-11-01T18:23:00,2
2016-09-28T10:59:00,
2016-11-01T19:17:00,1
2016-09-23T23:20:00,8
2016-10-01T16:30:00,3
2016-11-04T08:41:00,9
2016-10-31T11:17:00,9
2017-01-16T09:30:00,2
2017-01-16T10:15:00,9
2016-11-08T13:46:00,1
2016-11-08T13:46:00,1
2016-09-05T19:44:00,3
2016-10-01T16:30:00,3
2016-09-27T20:30:00,1
2016-09-27T17:30:00,2
2016-09-29T00:15:00,9
2016-09-29T02:00:00,1
2017-01-31T11:40:00,1
2016-09-29T22:47:00,9
2016-12-27T10:33:00,1
2016-09-27T18:15:00,
2016-11-11T01:50:00,8
2016-11-11T10:20:00,6
2016-11-11T11:40:00,6
2017-01-03T21:35:00,5
2016-08-06T17:52:00,8
2016-09-24T17:15:00,5
2017-01-02T19:26:00,3
2016-09-28T16:48:00,8
2016-10-28T10:00:00,
2016-11-11T19:11:00,6
2016-12-13T19:42:00,6
2017-01-16T10:15:00,9
2016-11-01T21:05:00,9
2016-09-26T10:20:00,4
2016-11-21T17:30:00,1
2017-01-11T20:32:00,6
2016-09-18T20:39:00,9
2016-11-11T20:35:00,
2016-11-12T16:45:00,9
2016-11-15T01:07:00,9
2016-12-15T16:32:00,6
2016-11-12T19:20:00,6
2016-10-30T20:18:00,9
2016-10-04T09:30:00,7
2016-12-06T15:20:00,
2017-01-19T07:00:00,
2016-10-12T11:30:00,1
2016-10-12T07:30:00,2
2017-01-19T07:00:00,9
2016-11-12T19:30:00,3
2017-01-11T20:32:00,6
2016-08-29T17:55:00,
2016-09-20T09:35:00,2
2016-10-12T02:00:00,6
2016-10-12T15:00:00,2
2016-11-09T11:40:00,6
2016-11-17T20:22:00,
2016-11-05T02:09:00,3
2017-01-11T20:32:00,6
2017-01-30T03:15:00,5
2016-10-12T19:50:00,3
2016-08-21T03:50:00,1
2016-10-07T20:13:00,3
2016-11-28T18:33:00,
2016-10-04T11:30:00,1
2016-11-03T21:50:00,7
2016-12-16T23:59:00,7
2017-01-16T15:53:00,5
2016-10-12T12:30:00,4
2016-09-26T02:01:00,3
2016-09-26T01:59:00,9
2017-01-15T00:39:00,
2017-01-25T11:55:00,1
2016-11-05T02:11:00,1
2016-12-01T23:41:00,2
2016-11-02T11:27:00,6
2016-11-05T04:20:00,4
2017-01-05T12:03:00,3
2016-11-05T02:11:00,1
2016-10-04T07:30:00,6
2016-11-05T03:10:00,9
2017-01-11T20:32:00,6
2016-09-11T08:28:00,1
2016-11-18T01:00:00,4
2016-11-08T17:54:00,1
2016-11-05T07:15:00,2
2017-01-15T08:05:00,4
2016-11-15T12:35:00,
2016-12-21T20:22:00,1
2016-12-24T11:24:00,4
2016-10-30T19:24:00,9
2016-09-15T22:00:00,2
2016-09-27T21:00:00,5
2016-09-17T23:40:00,3
2016-11-02T19:17:00,3
2017-01-11T20:45:00,9
2017-01-11T21:00:00,5
2017-01-13T19:55:00,6
2016-09-16T16:00:00,7
2016-10-04T09:30:00,6
2016-11-05T10:45:00,2
2016-10-22T01:06:00,
2016-11-10T11:51:00,3
2016-12-27T02:00:00,3
2017-01-11T22:38:00,4
2017-01-25T11:00:00,9
2016-09-15T20:30:00,7
2016-10-27T15:20:00,1
2016-11-10T13:39:00,4
2016-12-12T12:00:00,6
2016-11-10T13:48:00,9
2016-10-10T20:30:00,6
2016-10-20T17:44:00,6
2016-10-22T12:15:00,6
2016-11-11T13:45:00,1
2017-01-05T23:45:00,
2017-01-09T02:03:00,4
2017-01-25T13:53:00,3
2016-10-27T11:12:00,2
2016-09-05T17:24:00,3
2016-11-08T17:25:00,6
2016-09-28T01:32:00,
2016-11-08T13:00:00,1
2016-12-05T11:55:00,9
2016-12-29T01:26:00,
2016-12-28T21:14:00,9
2017-01-08T23:32:00,3
2016-09-30T14:14:00,1
2016-11-11T16:10:00,8
2016-11-07T16:05:00,5
2016-11-08T13:30:00,6
2017-01-24T20:25:00,1
2016-11-07T17:01:00,6
2016-11-12T00:55:00,3
2016-10-03T10:30:00,9
2017-01-11T16:50:00,3
2016-08-29T23:33:00,9
2016-10-19T18:52:00,
2016-10-28T23:10:00,3
2016-10-28T09:30:00,4
2016-11-23T04:10:00,6
2016-09-08T23:30:00,1
2016-10-04T10:45:00,6
2016-09-30T07:08:00,3
2016-11-12T03:38:00,3
2016-10-30T00:45:00,2
2016-10-30T00:50:00,1
2016-11-11T21:29:00,4
2016-11-15T13:00:00,
2017-01-24T11:05:00,9
2016-12-02T11:15:00,6
2016-11-12T18:10:00,6
2016-12-02T06:20:00,
2017-01-25T16:00:00,9
2016-11-13T12:00:00,9
2016-10-03T11:30:00,6
2016-08-02T12:24:00,3
2016-10-18T21:35:00,9
2016-09-28T21:15:00,4
2017-01-13T20:00:00,8
2016-09-05T22:00:00,6
2016-11-13T15:30:00,1
2016-12-10T20:02:00,3
2016-09-28T23:41:00,3
2016-10-27T11:33:00,4
2017-01-11T20:32:00,2
2016-11-01T14:15:00,1
2016-10-31T17:58:00,
2016-11-16T07:29:00,
2017-01-25T11:30:00,4
2016-11-30T20:00:00,5
2017-01-12T03:05:00,
2016-11-27T02:10:00,8
2016-09-30T17:56:00,4
2016-10-05T13:02:00,2
2016-10-04T09:00:00,9
2016-11-18T02:00:00,4
2016-11-10T14:45:00,3
2016-10-31T17:35:00,7
2016-11-10T14:45:00,3
2017-01-13T18:10:00,3
2016-09-25T21:05:00,9
2017-01-13T19:21:00,1
2016-11-10T16:25:00,2
2017-01-19T07:00:00,9
2017-01-19T07:00:00,9
2016-11-10T18:47:00,9
2016-09-17T17:30:00,3
2016-08-31T10:20:00,1
2016-10-04T07:45:00,3
2017-01-13T19:14:00,7
2016-10-03T17:45:00,
2017-01-24T11:30:00,6
2016-11-13T01:56:00,1
2016-11-20T18:04:00,9
2016-12-03T04:45:00,4
2016-12-03T11:38:00,6
2016-12-03T13:00:00,2
2016-10-06T15:00:00,1
2016-11-07T08:00:00,3
2016-11-16T01:31:00,9
2017-01-17T21:39:00,8
2016-12-05T02:55:00,9
2016-11-13T01:56:00,6
2016-09-17T18:18:00,6
2016-11-16T02:32:00,9
2017-01-20T15:32:00,6
2017-01-13T19:55:00,3
2016-11-15T02:38:00,6
2016-11-15T02:38:00,6
2016-12-12T13:40:00,9
2017-01-13T23:16:00,2
2016-09-18T08:20:00,6
2016-11-16T14:01:00,1
2016-12-13T19:10:00,7
2017-01-14T18:52:00,9
2017-01-17T18:00:00,9
2016-08-23T19:10:00,
2016-11-13T15:40:00,1
