CaseID,MH1
32613,2002/7/1
32613,2002/9/1
32613,NA
32613,NA
32613,NA
32613,NA
31659,2004/6/1
48753,2006/10/1
48753,2014/6/1
48753,NA
48753,NA
48753,NA
48753,NA
29594,2015/6/1
29594,2010/3/1
62084,2003/6/1
48241,2012/10/1
48241,NA
48241,NA
39146,2010/3/1
31041,2012/2/1
61719,2009/11/1
30701,2010/6/1
30701,2013/6/1
32048,NA
32209,NA
32209,NA
32209,2014/3/1
32209,2006/3/1
32209,2005/10/1
61626,2008/5/1
48555,2008/8/1
48555,NA
48555,NA
48565,2002/7/1
48565,2011/2/1
48565,2004/5/1
32731,NA
61206,NA
62305,NA
60951,NA
56744,2003/12/1
56744,NA
62058,2005/5/1
62058,2005/8/1
33135,2002/7/1
33135,2003/12/1
33135,2011/9/1
48366,NA
51650,2002/7/1
30572,2009/5/1
30572,2011/6/1
30572,NA
32680,2014/7/1
30495,2002/7/1
29980,NA
29980,NA
29980,NA
32659,2016/10/1
32604,2002/10/1
32604,2002/7/1
32604,2005/1/1
32604,2011/4/1
62331,2013/2/1
31652,2002/7/1
52239,NA
31041,NA
60374,2002/7/1
35292,2005/9/1
31600,2004/8/1
51645,2011/9/1
51645,2007/7/1
51645,2006/2/1
60838,2007/1/1
30102,2006/10/1
30102,2014/8/1
30102,2015/5/1
30102,2008/8/1
30102,2010/9/1
30102,2007/1/1
30743,2005/10/1
30743,2005/10/1
61262,NA
48820,2002/7/1
48820,NA
48820,NA
48820,NA
62087,2008/5/1
34279,2011/2/1
34279,NA
34279,NA
34279,2013/5/1
34279,2014/10/1
34279,2012/10/1
58232,2011/4/1
58232,NA
33339,2011/1/1
33339,2008/7/1
33339,NA
33339,NA
33339,NA
61572,2002/7/1
30901,NA
35137,2002/7/1
47157,2003/2/1
30701,NA
49086,2006/6/1
33651,2008/12/1
54390,2009/2/1
61482,2016/12/1
61482,2016/9/1
61482,2003/12/1
53215,2012/2/1
53215,NA
61635,NA
54680,2014/7/1
30779,2004/4/1
30779,2003/12/1
30779,NA
61542,2002/7/1
31734,2004/11/1
31734,NA
31734,2013/4/1
31734,2013/4/1
31734,NA
47253,2013/7/1
61906,NA
60969,2007/2/1
48810,NA
48810,NA
48810,NA
48810,NA
29913,NA
30383,2003/9/1
30383,NA
61924,2008/5/1
61063,2002/7/1
61983,2009/4/1
33342,2002/7/1
61569,2009/2/1
60756,2008/3/1
32274,2004/4/1
32274,2016/9/1
59592,NA
62205,2009/12/1
59592,NA
48337,2005/3/1
48337,NA
48337,2004/11/1
48337,2016/12/1
60064,2002/7/1
30444,NA
61951,2016/2/1
61951,2012/8/1
32668,NA
32668,NA
32668,NA
29057,2005/5/1
29057,2014/6/1
62090,2007/1/1
30901,NA
31712,NA
31712,2002/7/1
48532,NA
48532,NA
48817,2016/10/1
48817,2006/7/1
33098,2002/7/1
62123,2007/12/1
62204,2004/6/1
32754,2012/6/1
32754,2008/8/1
32754,2016/2/1
32754,2010/11/1
61106,2002/8/1
61106,2014/9/1
57698,2002/10/1
61045,2003/1/1
61450,2003/5/1
61450,2012/9/1
61450,2011/12/1
32301,2011/11/1
31991,2007/8/1
31991,2011/2/1
31991,NA
31991,NA
31991,NA
61014,2003/12/1
59036,2007/12/1
56638,2008/12/1
56588,NA
48820,NA
60820,2005/8/1
33101,2011/9/1
33101,NA
33101,2009/10/1
61873,2011/4/1
61701,2012/11/1
52239,2008/6/1
62049,2010/4/1
61025,2011/9/1
61025,2012/4/1
61025,2012/6/1
61025,2010/12/1
58998,2017/1/1
58998,2008/8/1
58998,NA
55219,2015/2/1
55219,NA
61106,NA
61106,2011/3/1
50805,2009/3/1
34902,NA
61930,2006/10/1
30747,2003/1/1
30747,2009/1/1
30648,2002/11/1
30648,2009/3/1
30648,NA
30648,NA
30648,NA
50942,2014/1/1
32716,2002/7/1
32716,NA
61381,NA
29578,NA
62336,NA
30772,NA
30772,NA
30772,NA
55335,NA
62126,2002/7/1
62126,2002/7/1
62126,2015/4/1
32615,2002/7/1
32615,2008/7/1
32615,2003/12/1
32615,2013/4/1
55839,NA
61968,NA
30643,2016/2/1
33648,2016/4/1
33648,NA
33648,NA
33648,2002/7/1
33648,2006/11/1
61912,2005/4/1
61503,2005/2/1
31053,2004/2/1
31053,2015/5/1
31053,2015/3/1
31053,2014/4/1
31053,NA
31053,2004/12/1
59162,NA
61303,2011/7/1
47157,2011/9/1
47157,2012/4/1
49410,NA
49410,2012/8/1
49410,NA
49410,2016/6/1
61719,2007/12/1
61719,NA
61719,2007/11/1
61719,2013/7/1
61719,2002/7/1
34889,2009/7/1
34889,NA
34889,NA
34889,2016/3/1
34889,NA
61321,NA
60893,2007/9/1
60893,2003/12/1
32680,2004/2/1
32680,2012/2/1
32680,NA
32680,NA
60250,NA
60250,2015/11/1
60250,2016/2/1
59888,NA
36714,2002/7/1
36714,NA
48828,2008/8/1
48828,NA
48828,2009/1/1
48828,2008/10/1
30701,NA
61156,2008/8/1
54427,2002/7/1
54427,2002/7/1
54427,2011/4/1
54427,2002/7/1
47775,2002/7/1
47775,2006/12/1
47775,2017/1/1
30452,2011/6/1
30452,2010/4/1
30452,NA
61551,NA
60907,2008/7/1
60907,2008/5/1
60907,2010/7/1
48361,2004/2/1
48361,2008/5/1
49055,NA
49055,2009/1/1
49055,NA
60937,2002/7/1
31772,2002/9/1
31772,2012/6/1
61215,2009/4/1
33514,NA
33514,2004/4/1
33514,NA
32809,2008/6/1
32809,NA
32809,2008/3/1
30290,NA
30290,NA
